0,24,2
0,73,1
1,72,1023
2,70,3
3,62,-77
3,108,4
4,62,5
5,70,7
5,75,6
6,53,8
6,63,9
7,53,-2
7,54,-2
7,63,-2
8,70,10
9,55,11
10,53,-3
10,54,-3
10,63,-3
11,2,-5
11,12,-5
11,23,-5
11,32,13
11,76,12
12,2,-32
12,12,-32
12,23,-32
12,103,14
13,70,7
13,75,15
13,77,16
14,2,-13
14,12,-13
14,23,-13
14,74,17
15,53,8
15,54,18
16,55,19
17,2,-32
17,12,-32
17,23,-32
17,103,20
18,1,23
18,35,24
18,36,25
18,78,21
18,79,22
19,2,-4
19,12,-4
19,23,-4
19,70,7
19,75,26
20,2,30
20,12,31
20,23,32
20,80,27
20,81,28
20,88,29
21,55,-7
22,55,-8
22,63,-8
23,64,33
24,55,-10
24,63,-10
25,55,-11
25,63,-11
26,53,8
26,54,34
27,55,35
28,2,-5
28,32,13
28,76,36
29,60,37
30,2,30
30,9,-23
30,11,44
30,14,45
30,26,46
30,33,47
30,70,48
30,84,38
30,85,39
30,86,40
30,87,41
30,88,42
30,90,43
31,70,49
32,70,50
33,68,51
34,1,23
34,35,24
34,36,25
34,78,52
34,79,22
35,2,-12
35,12,-12
35,23,-12
36,2,30
36,88,53
37,72,-32
37,103,54
38,9,55
39,9,-22
39,55,56
40,9,-24
40,55,-24
41,8,-27
41,9,-27
41,31,-27
41,55,-27
42,8,-28
42,9,-28
42,31,-28
42,55,-28
43,66,57
44,70,59
44,90,58
45,19,-32
45,37,-32
45,38,-32
45,39,-32
45,40,-32
45,62,-32
45,68,-32
45,69,-32
45,70,-32
45,103,60
46,2,-32
46,11,-32
46,14,-32
46,26,-32
46,33,-32
46,70,-32
46,103,61
47,19,-32
47,37,-32
47,38,-32
47,39,-32
47,40,-32
47,62,-32
47,68,-32
47,69,-32
47,70,-32
47,103,62
48,62,63
48,64,64
48,66,-44
49,54,-73
49,62,-73
49,105,65
50,55,-74
50,62,-74
50,106,66
51,67,67
52,55,-6
53,55,-14
54,72,-1
55,8,-21
55,9,-21
55,31,-21
55,55,-21
55,60,-21
56,2,-32
56,11,-32
56,14,-32
56,26,-32
56,33,-32
56,70,-32
56,103,68
57,39,74
57,40,75
57,62,76
57,68,77
57,69,78
57,70,79
57,91,69
57,95,70
57,96,71
57,97,72
57,101,73
58,66,-32
58,103,80
59,64,64
59,66,-44
60,19,84
60,37,85
60,38,86
60,39,74
60,40,75
60,62,87
60,68,77
60,69,78
60,70,79
60,91,81
60,92,82
60,93,83
60,95,70
60,96,71
60,97,72
60,101,73
61,2,30
61,11,44
61,14,45
61,26,46
61,33,47
61,70,48
61,86,88
61,87,41
61,88,42
61,90,43
62,19,84
62,37,85
62,38,86
62,39,74
62,40,75
62,62,87
62,68,77
62,69,78
62,70,79
62,91,81
62,92,82
62,93,89
62,95,70
62,96,71
62,97,72
62,101,73
63,39,74
63,40,75
63,62,76
63,63,92
63,68,77
63,69,78
63,70,79
63,91,90
63,94,91
63,95,70
63,96,71
63,97,72
63,101,73
64,39,74
64,40,75
64,62,76
64,68,77
64,69,78
64,70,79
64,91,93
64,95,70
64,96,71
64,97,72
64,101,73
65,54,-18
65,62,95
65,82,94
66,55,-18
66,62,95
66,82,96
67,68,97
68,2,30
68,11,44
68,14,45
68,26,46
68,33,47
68,70,48
68,86,98
68,87,41
68,88,42
68,90,43
69,8,-26
69,9,-26
69,31,-26
69,39,100
69,40,101
69,55,-26
69,99,99
70,0,-50
70,5,103
70,6,-50
70,8,-50
70,9,-50
70,21,-50
70,28,-50
70,29,-50
70,31,-50
70,39,-50
70,40,-50
70,41,104
70,47,-50
70,48,-50
70,49,-50
70,50,-50
70,51,-50
70,52,-50
70,53,-50
70,55,-50
70,63,-50
70,65,-50
70,100,102
71,0,-53
71,5,-53
71,6,-53
71,8,-53
71,9,-53
71,21,-53
71,28,-53
71,29,-53
71,31,-53
71,39,-53
71,40,-53
71,41,-53
71,47,-53
71,48,-53
71,49,-53
71,50,-53
71,51,-53
71,52,-53
71,53,-53
71,55,-53
71,63,-53
71,65,-53
72,62,76
72,68,77
72,69,78
72,70,79
72,95,105
72,96,71
72,101,73
73,0,-57
73,5,-57
73,6,-57
73,8,-57
73,9,-57
73,21,-57
73,28,-57
73,29,-57
73,31,-57
73,39,-57
73,40,-57
73,41,-57
73,47,-57
73,48,-57
73,49,-57
73,50,-57
73,51,-57
73,52,-57
73,53,-57
73,55,-57
73,63,-57
73,65,-57
74,62,-59
74,68,-59
74,69,-59
74,70,-59
75,62,-60
75,68,-60
75,69,-60
75,70,-60
76,39,74
76,40,75
76,62,76
76,68,77
